index,experiment_num,sem_mean,sem_median,sem_std,summ1_mean,summ1_median,summ1_std,summ2_mean,summ2_median,summ2_std
35,157,20.10410557184751,16.0,14.482344457457437,4.797165200391007,5.0,2.2367046532125823,2.8934506353861194,3.0,1.4122710972349364
120,158,21.835282651072124,17.0,14.449669294778188,7.874756335282651,7.0,3.793603149418021,4.6647173489278755,4.0,2.9858536560945272
99,159,21.835282651072124,17.0,14.449669294778188,7.874269005847953,7.0,3.7935227587642335,4.591130604288499,4.0,2.9109955284823936
149,160,21.803118908382068,17.0,14.463162238598535,7.865984405458089,7.0,3.793046173493929,4.595029239766082,4.0,2.921571054208788
22,161,21.816764132553605,17.0,14.454000799419678,7.253898635477583,7.0,3.456120343086696,4.027777777777778,4.0,2.012323886460826
78,162,21.802144249512672,17.0,14.463384906626851,7.864035087719298,7.0,3.7906622543314645,6.095029239766082,6.0,3.3461497772313393
12,163,21.81140350877193,17.0,14.452835466674518,6.1379142300194935,6.0,2.8203110119708463,5.618421052631579,5.0,2.444929646674316
98,164,20.10410557184751,16.0,14.482344457457437,4.797165200391007,5.0,2.2367046532125823,3.875366568914956,4.0,1.8412840309622078
58,165,21.835282651072124,17.0,14.449669294778188,7.874756335282651,7.0,3.793603149418021,6.5248538011695905,6.0,3.4028791876216653
25,166,21.835282651072124,17.0,14.449669294778188,7.874269005847953,7.0,3.7935227587642335,6.393274853801169,6.0,3.4136008112801544
131,167,21.803118908382068,17.0,14.463162238598535,7.865984405458089,7.0,3.793046173493929,6.2480506822612085,6.0,3.3646238154027786
137,168,21.816764132553605,17.0,14.454000799419678,7.253898635477583,7.0,3.456120343086696,6.17056530214425,6.0,2.814455800864832
